author;name;isbn;quantity
Anton CHekhov;CHajka;5406001406653;48
Mihail Bulgakov;Morfij;6643774446492;20
Mihail Bulgakov;Ivan Vasil'evich;9967276428739;40
Arkadij i Boris Strugackie;Trudno byt' bogom;1628211027521;39
Vladimir Bogomolov;Moment istiny (V avguste 44-go);1421450755332;16
Mihail Bulgakov;Beg;7290283586193;45
Konstantin Simonov;ZHivye i mertvye;2208602107013;48
Aleksandr Dyuma;Sorok pyat';2552500912261;38
Lev Tolstoj;Kavkazskij plennik;3745879039686;14
Valentin Kataev;Beleet parus odinokij;8394091012821;40
Aleksandr Ostrovskij;Bespridannica;4482653136295;46
Ivan Turgenev;Zapiski ohotnika;3649930609229;10
Mark Tven;Priklyucheniya Toma Sojera;1382712850178;27
Anton CHekhov;Tri sestry;4362972715171;25
Lev Tolstoj;Hadzhi-Murat;1608950606959;21
Mark Tven;Priklyucheniya Gekl'berri Finna;3021793105021;4
Nikolaj Gogol';SHinel';1151812097580;12
ZHyul' Vern;Tainstvennyj ostrov;6597338915865;38
Gabriel' Garsia Markes;Sto let odinochestva;6613326860460;30
Iogann Vol'fgang fon Gyote;Faust;1688807116692;28
Viktor Gyugo;Sobor Parizhskoj Bogomateri;1484438896349;33
Nikolaj Gogol';Vij;7075529541421;37
